title,company,location,description,link,skills
Python developer,Infosys,"Bengaluru East, Karnataka, India","Job at Infosys in Bengaluru East, Karnataka, India.",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4216805858?position=1&pageNum=0&refId=ALJqHFv8UIVQZUbudjmGZg%3D%3D&trackingId=iCCDF3f71dyk9QPvGEqjKg%3D%3D,
Python developer,Infosys,"Bengaluru East, Karnataka, India","Job at Infosys in Bengaluru East, Karnataka, India.",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4217397513?position=2&pageNum=0&refId=ALJqHFv8UIVQZUbudjmGZg%3D%3D&trackingId=hAlKtMYZRw75l0narGPnqw%3D%3D,
Python Developer,Infosys,"Pune, Maharashtra, India","Job at Infosys in Pune, Maharashtra, India.",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4220939108?position=3&pageNum=0&refId=ALJqHFv8UIVQZUbudjmGZg%3D%3D&trackingId=aFlLYIDygYXFZokDRIumeQ%3D%3D,
Python Developer,Infosys,"Chandigarh, Chandigarh, India","Job at Infosys in Chandigarh, Chandigarh, India.",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4207500723?position=4&pageNum=0&refId=ALJqHFv8UIVQZUbudjmGZg%3D%3D&trackingId=XmumUFtrhzPSHobE7noswQ%3D%3D,
Python Developer,Infosys,"Pune, Maharashtra, India","Job at Infosys in Pune, Maharashtra, India.",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4214876486?position=5&pageNum=0&refId=ALJqHFv8UIVQZUbudjmGZg%3D%3D&trackingId=ssWx9BNi79kdymzhGP1ZVg%3D%3D,
Python Developer,Infosys,"Gurgaon, Haryana, India","Job at Infosys in Gurgaon, Haryana, India.",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4239914832?position=6&pageNum=0&refId=ALJqHFv8UIVQZUbudjmGZg%3D%3D&trackingId=iSjDe7LXsNms6PM7hKnRCw%3D%3D,
Python Developer,Infosys,"Gurgaon, Haryana, India","Job at Infosys in Gurgaon, Haryana, India.",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4241181874?position=7&pageNum=0&refId=ALJqHFv8UIVQZUbudjmGZg%3D%3D&trackingId=VE5%2B7cxf44KJANL%2FbwtZ5g%3D%3D,
Python Developer,Infosys,"Bengaluru, Karnataka, India","Job at Infosys in Bengaluru, Karnataka, India.",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4191884365?position=8&pageNum=0&refId=ALJqHFv8UIVQZUbudjmGZg%3D%3D&trackingId=%2FubQm8Ixc9i74Px3TTv8ng%3D%3D,
Python Developer,Infosys,"Bengaluru East, Karnataka, India","Job at Infosys in Bengaluru East, Karnataka, India.",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4240263505?position=9&pageNum=0&refId=ALJqHFv8UIVQZUbudjmGZg%3D%3D&trackingId=M0O7XzA3hgXi2BpiQsx4sQ%3D%3D,
Python Developer,Infosys,"Bengaluru, Karnataka, India","Job at Infosys in Bengaluru, Karnataka, India.",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4242299754?position=10&pageNum=0&refId=ALJqHFv8UIVQZUbudjmGZg%3D%3D&trackingId=e2himAoJ6BYCawjjRFoTTg%3D%3D,
Lead Python developer,CoreTek Labs,New York City Metropolitan Area,Job at CoreTek Labs in New York City Metropolitan Area.,https://www.linkedin.com/jobs/view/lead-python-developer-at-coretek-labs-4252705254?position=1&pageNum=0&refId=CvyMyS0d135nvo%2FIABwHAw%3D%3D&trackingId=ghLCe5c6XLRiJm9FAjty%2FA%3D%3D,
Java Full Stack Developer - OPT/CPT/STEM OPT / H4-EAD,Veracity Software Inc,"Iselin, NJ","Job at Veracity Software Inc in Iselin, NJ.",https://www.linkedin.com/jobs/view/java-full-stack-developer-opt-cpt-stem-opt-h4-ead-at-veracity-software-inc-4248434295?position=2&pageNum=0&refId=CvyMyS0d135nvo%2FIABwHAw%3D%3D&trackingId=ZpkqU1ETo02EojgMzIR3ZQ%3D%3D,
"Backend Engineer (Java), All Levels - NYC",Medal,"New York, NY","Job at Medal in New York, NY.",https://www.linkedin.com/jobs/view/backend-engineer-java-all-levels-nyc-at-medal-4252714011?position=3&pageNum=0&refId=CvyMyS0d135nvo%2FIABwHAw%3D%3D&trackingId=Y3h6KTqWnv8h7ehO45JciQ%3D%3D,
